 FeIII     3026.985  26 2    21           A103      6.
 NeII      3027.04   10 1    8            A 52      4.
 FeII      3027.38   26 1 P  99
 FeIII     3027.46   26 2    10           A103      3.
 V II      3027.600  23 1    85           A266     15.
 GdII      3027.602  64 1    12           A225   8000.
 Y II      3027.75   39 1    60           A254      3.
 PdI       3027.92   46 0    5            A256    100.
 O IV      3028.04    8 3    5            A 81      0.         77.08
 V II      3028.042  23 1    85           A266     50.
 ZrII      3028.05   40 1    76           A196     20.
 CrII      3028.125  24 1    87           B245     40.
 NbII      3028.436  41 1    2            A283    300. w
 RhII      3028.608  45 1    1            A150     75.
 CaIII     3028.66   20 2    3            A 11      6.
 O II      3028.82    8 1    73           B118      1.
 NeII      3028.84   10 1    4            A 52      4.
 ArII      3028.93   18 1    84           A340      6.
 GdII      3028.981  64 1    26           A225    200.
 MnII      3029.041  25 1    10           A 68     50.         15.6
 CrI       3029.164  24 0    26           C245     18.
 FeI       3029.237  26 0    56           V 55      3.
 NiI       3029.297  28 0    56           B245      3.
 ZrI       3029.52   40 0    22           A197      7.
 V II      3029.56   23 1    26           A266      7.
 FeII      3029.681  26 1    124          A 76      0.
 TiII      3029.730  22 1    85           C245     35.
 SbI       3029.83   51 0    2            A279    500. r        8.64
 FeI       3030.149  26 0    198          C278     15.
 Y II      3030.214  39 1    79           C245      4. n
 CrI       3030.245  24 0    27           C245     25. r
 FeI       3030.61   26 0 P  145                       sol
 FeI       3030.757  26 0    459          S 77      0.
 ScI       3030.769  21 0    10           A245      3.
 NeII      3030.85   10 1    17           A 52      2.
 ZrII      3030.91   40 1    6            A196     10.
 V I       3031.007  23 0 ?  74           C245     10.
 HfII      3031.16   72 1    11           A289    120.
 FeI       3031.213  26 0    198          G 59     12.
 CrI       3031.353  24 0    27           C245      7.
 CrI       3031.486  24 0    117          C245      4.
 CeIII     3031.559  58 2    1            A362    500.
 CrII      3031.63   24 1    87           A184      1.
 FeII      3031.63   26 1 P  138
 FeI       3031.638  26 0    30           G 59     15.
 NiI       3031.870  28 0    11           B245     10. r
 ZrII      3032.00   40 1    144          A196      3.
 O II      3032.08    8 1    83           B118      2.
 V II      3032.187  23 1    75           A266      3.
 NiII      3032.44   28 1    3            A252      2.
 O II      3032.50    8 1    83           B118      1.
 NbII      3032.767  41 1                 A283    400. rs
 GdII      3032.845  64 1    12           A225  10000.
 AsI       3032.85   33 0    1            A273     40.         10.
 CrII      3032.927  24 1    15           B245     30.
 FeI       3033.104  26 0    146          V 55      1. :
 FeII      3033.445  26 1    181          A 76      2. n
 V II      3033.445  23 1    123          A266    200.
